Hour,Gas(MWs)
2022-06-24T00:00:00+0100,15892
2022-06-24T01:00:00+0100,15267
2022-06-24T02:00:00+0100,15966
2022-06-24T03:00:00+0100,15882
2022-06-24T04:00:00+0100,16187
2022-06-24T05:00:00+0100,16188
2022-06-24T06:00:00+0100,15659
2022-06-24T07:00:00+0100,16189
2022-06-24T08:00:00+0100,16550
2022-06-24T09:00:00+0100,17507
2022-06-24T10:00:00+0100,17264
2022-06-24T11:00:00+0100,16820
2022-06-24T12:00:00+0100,16833
2022-06-24T13:00:00+0100,16706
2022-06-24T14:00:00+0100,15890
2022-06-24T15:00:00+0100,16350
2022-06-24T16:00:00+0100,16631
2022-06-24T17:00:00+0100,17220
2022-06-24T18:00:00+0100,17278
2022-06-24T19:00:00+0100,17035
2022-06-24T20:00:00+0100,16574
2022-06-24T21:00:00+0100,15220
2022-06-24T22:00:00+0100,13414
2022-06-24T23:00:00+0100,11116
2022-06-25T00:00:00+0100,8276
2022-06-25T01:00:00+0100,6310
2022-06-25T02:00:00+0100,5327
2022-06-25T03:00:00+0100,4331
2022-06-25T04:00:00+0100,4140
2022-06-25T05:00:00+0100,4049
2022-06-25T06:00:00+0100,4436
2022-06-25T07:00:00+0100,5200
2022-06-25T08:00:00+0100,6323
2022-06-25T09:00:00+0100,7554
2022-06-25T10:00:00+0100,7385
2022-06-25T11:00:00+0100,6794
2022-06-25T12:00:00+0100,6217
2022-06-25T13:00:00+0100,6385
2022-06-25T14:00:00+0100,5934
2022-06-25T15:00:00+0100,4711
2022-06-25T16:00:00+0100,5338
2022-06-25T17:00:00+0100,6330
2022-06-25T18:00:00+0100,8661
2022-06-25T19:00:00+0100,9005
2022-06-25T20:00:00+0100,8896
2022-06-25T21:00:00+0100,9313
2022-06-25T22:00:00+0100,9445
2022-06-25T23:00:00+0100,8850
2022-06-26T00:00:00+0100,6311
2022-06-26T01:00:00+0100,6294
2022-06-26T02:00:00+0100,6042
2022-06-26T03:00:00+0100,5531
2022-06-26T04:00:00+0100,5187
2022-06-26T05:00:00+0100,4721
2022-06-26T06:00:00+0100,5067
2022-06-26T07:00:00+0100,5034
2022-06-26T08:00:00+0100,4455
2022-06-26T09:00:00+0100,4513
2022-06-26T10:00:00+0100,4388
2022-06-26T11:00:00+0100,4792
2022-06-26T12:00:00+0100,3765
2022-06-26T13:00:00+0100,4200
2022-06-26T14:00:00+0100,4181
2022-06-26T15:00:00+0100,4123
2022-06-26T16:00:00+0100,4840
2022-06-26T17:00:00+0100,6823
2022-06-26T18:00:00+0100,8601
2022-06-26T19:00:00+0100,8987
2022-06-26T20:00:00+0100,9173
2022-06-26T21:00:00+0100,9561
2022-06-26T22:00:00+0100,10024
2022-06-26T23:00:00+0100,9250
2022-06-27T00:00:00+0100,9504
2022-06-27T01:00:00+0100,9348
2022-06-27T02:00:00+0100,9546
2022-06-27T03:00:00+0100,9987
2022-06-27T04:00:00+0100,10459
2022-06-27T05:00:00+0100,11209
2022-06-27T06:00:00+0100,12886
2022-06-27T07:00:00+0100,14560
2022-06-27T08:00:00+0100,15373
2022-06-27T09:00:00+0100,15594
2022-06-27T10:00:00+0100,16181
2022-06-27T11:00:00+0100,15788
2022-06-27T12:00:00+0100,15993
2022-06-27T13:00:00+0100,15663
2022-06-27T14:00:00+0100,15583
2022-06-27T15:00:00+0100,15676
2022-06-27T16:00:00+0100,15500
2022-06-27T17:00:00+0100,16343
2022-06-27T18:00:00+0100,16258
2022-06-27T19:00:00+0100,16266
2022-06-27T20:00:00+0100,16089
2022-06-27T21:00:00+0100,16229
2022-06-27T22:00:00+0100,16247
